1	1	1	2	0.013999994	157.5	180	0	1	3000	6	1	72
2	2	1	3	0.211001625	157.5	198	0	1	3000	6	1	72
3	3	1	5	0.085000043	157.5	198	0	0	3000	12	1	72
4	4	2	4	0.127000254	157.5	198	0	0	3000	12	1	72
5	5	2	6	0.192001229	157.5	198	0	0	3000	12	1	72
6	6	3	9	0.118999453	157.5	198	0	0	3000	12	1	72
7	7	3	24	0.083999731	360	540	0	0	3000	12	1	72
8	8	4	9	0.103999834	157.5	198	0	0	3000	12	1	72
9	9	5	10	0.088000282	157.5	198	0	0	3000	12	1	72
10	10	6	10	0.061000159	157.5	180	0	0	3000	12	1	72
11	11	7	8	0.061000159	157.5	198	0	0	3000	12	1	72
12	12	8	9	0.165000165	157.5	198	0	0	3000	12	1	72
13	13	8	10	0.165000165	157.5	198	0	0	3000	12	1	72
14	14	9	11	0.083999731	360	540	0	0	3000	12	1	72
15	15	9	12	0.083999731	360	540	0	0	3000	12	1	72
16	16	10	11	0.083999731	360	540	0	1	3000	12	1	72
17	17	10	12	0.083999731	360	540	0	0	3000	12	1	72
18	18	11	13	0.075000188	450	562.5	0	0	3000	12	1	72
19	19	11	14	0.042000042	450	562.5	0	0	3000	12	1	72
20	20	12	13	0.048000077	450	562.5	0	0	3000	12	1	72
21	21	12	23	0.096999796	450	562.5	0	0	3000	12	1	72
22	22	13	23	0.086999643	450	562.5	0	1	3000	12	1	72
23	23	14	16	0.058999835	315	393.75	0	0	3000	12	1	72
24	24	15	16	0.017000009	450	562.5	0	0	3000	12	1	72
25	25	15	21	0.048999912	450	562.5	0	0	3000	12	1	72
26	26	15	21	0.048999912	450	562.5	0	0	3000	12	1	72
27	27	15	24	0.051999917	450	562.5	0	1	3000	12	1	72
28	28	16	17	0.026000026	450	562.5	0	0	3000	12	1	72
29	29	16	19	0.022999979	450	562.5	0	0	3000	12	1	72
30	30	17	18	0.013999994	450	562.5	0	0	3000	12	1	72
31	31	17	22	0.105000105	450	562.5	0	0	3000	12	1	72
32	32	18	21	0.026000026	450	562.5	0	0	3000	12	1	72
33	33	18	21	0.026000026	450	562.5	0	0	3000	12	1	72
34	34	19	20	0.04	450	562.5	0	0	3000	12	1	72
35	35	19	20	0.04	450	562.5	0	0	3000	12	1	72
36	36	20	23	0.022000022	450	562.5	0	0	3000	12	1	72
37	37	20	23	0.022000022	450	562.5	0	0	3000	12	1	72
38	38	21	22	0.067999918	450	562.5	0	1	3000	12	1	72
