1	1	1	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
2	2	1	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
3	3	1	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
4	4	1	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
5	5	2	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
6	6	2	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
7	7	2	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
8	8	2	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
9	9	7	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
10	10	7	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	1	5000	24	25	144
11	11	7	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
12	12	13	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	0	5000	24	25	144
13	13	13	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	1	5000	24	25	144
14	14	13	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	0	5000	24	25	144
15	15	14	1	1	0	0	-100	0	0	0	0	0	0	0	0	0	5000	24	25	144
16	16	15	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
17	17	15	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
18	18	15	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
19	19	15	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
20	20	15	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
21	21	15	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
22	22	16	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
23	23	18	48	48	0	0	-100	400	100	2400	5.46	215.08	200	400	400	0	5000	24	25	144
24	24	21	48	48	0	0	-100	400	100	2400	5.46	215.08	200	400	400	0	5000	24	25	144
25	25	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
26	26	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
27	27	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
28	28	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
29	29	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
30	30	22	1	1	0	0	-100	50	0	0	0	0	50	50	50	1	5000	24	25	144
31	31	23	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
32	32	23	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
33	33	23	24	48	0	0	-100	350	140	7953.04	15.89	358.23	40	240	350	0	5000	24	25	144
34	34	25	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
35	35	25	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
36	36	25	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
37	37	25	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
38	38	26	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
39	39	26	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
40	40	26	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
41	41	26	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
42	42	31	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
43	43	31	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
44	44	31	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
45	45	37	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	0	5000	24	25	144
46	46	37	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	0	5000	24	25	144
47	47	37	12	10	0	0	-100	197	68.95	6510	74.75	1159.93	30	180	197	0	5000	24	25	144
48	48	38	1	1	0	0	-100	0	0	0	0	0	0	0	0	0	5000	24	25	144
49	49	39	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
50	50	39	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
51	51	39	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
52	52	39	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
53	53	39	4	2	0	0	-100	12	2.4	571.2	94.74	72.68	10	12	12	0	5000	24	25	144
54	54	39	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
55	55	40	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
56	56	42	48	48	0	0	-100	400	100	2400	5.46	215.08	200	400	400	0	5000	24	25	144
57	57	45	48	48	0	0	-100	400	100	2400	5.46	215.08	200	400	400	0	5000	24	25	144
58	58	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
59	59	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
60	60	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
61	61	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
62	62	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
63	63	46	1	1	0	0	-100	50	0	0	0	0	50	50	50	0	5000	24	25	144
64	64	47	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
65	65	47	8	8	0	0	-100	155	54.25	1696.34	15.46	252.67	30	155	155	0	5000	24	25	144
66	66	47	24	48	0	0	-100	350	140	7953.04	15.89	358.23	40	240	350	0	5000	24	25	144
67	67	49	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	1	5000	24	25	144
68	68	49	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
69	69	49	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
70	70	49	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
71	71	50	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
72	72	50	1	1	0	0	-100	20	15.8	75.85	163.02	1138.68	20	20	20	0	5000	24	25	144
73	73	50	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
74	74	50	8	4	0	0	-100	76	15.2	1060.88	19.64	130.63	20	76	76	0	5000	24	25	144
75	75	55	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
76	76	55	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
77	77	55	8	8	0	0	-100	100	25	4754.4	75.64	839.45	70	100	100	0	5000	24	25	144
